时间标识,2024/7/7 11:15:57,时间标识,2024/7/7 11:15:57
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0,2.1007250319235027,0,2.1665512034669518
0.0002,2.1071785781532526,0.0002,2.1639697849750519
0.0004,2.1071785781532526,0.0004,2.1678419127129018
0.0006,2.1033064504154027,0.0006,2.1665512034669518
0.0008,2.1033064504154027,0.0008,2.1613883664831519
0.001,2.1033064504154027,0.001,2.1652604942210019
0.0012,2.1020157411694527,0.0012,2.1652604942210019
0.0014,2.1033064504154027,0.0014,2.1652604942210019
0.0016,2.1058878689073026,0.0016,2.1613883664831519
0.0018,2.0994343226775527,0.0018,2.1639697849750519
0.002,2.1020157411694527,0.002,2.1600976572372019
0.0022,2.0955621949397027,0.0022,2.1588069479912519
0.0024,2.1007250319235027,0.0024,2.1600976572372019
0.0026,2.1020157411694527,0.0026,2.1600976572372019
0.0028,2.0994343226775527,0.0028,2.1588069479912519
0.003,2.1033064504154027,0.003,2.157516238745302
0.0032,2.0968529041856527,0.0032,2.154934820253402
0.0034,2.0942714856937528,0.0034,2.1588069479912519
0.0036,2.0916900672018528,0.0036,2.1626790757291019
0.0038,2.0994343226775527,0.0038,2.154934820253402
0.004,2.0981436134316027,0.004,2.157516238745302
0.0042,2.0981436134316027,0.0042,2.157516238745302
0.0044,2.0968529041856527,0.0044,2.156225529499352
0.0046,2.1007250319235027,0.0046,2.152353401761502
0.0048,2.0994343226775527,0.0048,2.157516238745302
0.005,2.0994343226775527,0.005,2.156225529499352
0.0052,2.0994343226775527,0.0052,2.152353401761502
0.0054,2.0994343226775527,0.0054,2.1613883664831519
0.0056,2.0994343226775527,0.0056,2.1626790757291019
0.0058,2.1007250319235027,0.0058,2.1626790757291019
0.006,2.1007250319235027,0.006,2.1652604942210019
0.0062,2.0994343226775527,0.0062,2.1588069479912519
0.0064,2.1097599966451526,0.0064,2.157516238745302
0.0066,2.1033064504154027,0.0066,2.1639697849750519
0.0068,2.1084692873992026,0.0068,2.1652604942210019
0.007,2.1084692873992026,0.007,2.1639697849750519
