时间标识,2024/7/4 10:15:19,时间标识,2024/7/4 10:15:19
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0,2.0581316268071532,0,2.0916900672018528
0.0002,2.0542594990693033,0.0002,2.0955621949397027
0.0004,2.0581316268071532,0.0004,2.0891086487099528
0.0006,2.0620037545450032,0.0006,2.0916900672018528
0.0008,2.0594223360531032,0.0008,2.0903993579559028
0.001,2.0645851730369031,0.001,2.0942714856937528
0.0012,2.0697480100207031,0.0012,2.0994343226775527
0.0014,2.0658758822828531,0.0014,2.1007250319235027
0.0016,2.0632944637909532,0.0016,2.0955621949397027
0.0018,2.0632944637909532,0.0018,2.1007250319235027
0.002,2.0632944637909532,0.002,2.1007250319235027
0.0022,2.072329428512603,0.0022,2.1045971596613526
0.0024,2.0697480100207031,0.0024,2.0968529041856527
0.0026,2.0697480100207031,0.0026,2.1020157411694527
0.0028,2.073620137758553,0.0028,2.1084692873992026
0.003,2.076201556250453,0.003,2.1033064504154027
0.0032,2.077492265496403,0.0032,2.1033064504154027
0.0034,2.076201556250453,0.0034,2.1084692873992026
0.0036,2.073620137758553,0.0036,2.1123414151370525
0.0038,2.076201556250453,0.0038,2.1097599966451526
0.004,2.074910847004503,0.004,2.1071785781532526
0.0042,2.077492265496403,0.0042,2.1071785781532526
0.0044,2.076201556250453,0.0044,2.1136321243830025
0.0046,2.077492265496403,0.0046,2.1149228336289525
0.0048,2.078782974742353,0.0048,2.1123414151370525
0.005,2.0800736839883029,0.005,2.1149228336289525
0.0052,2.0839458117261529,0.0052,2.1136321243830025
0.0054,2.0826551024802029,0.0054,2.1097599966451526
0.0056,2.0852365209721029,0.0056,2.1097599966451526
0.0058,2.0839458117261529,0.0058,2.1123414151370525
0.006,2.0813643932342529,0.006,2.1162135428749025
0.0062,2.0891086487099528,0.0062,2.1162135428749025
0.0064,2.0891086487099528,0.0064,2.1162135428749025
0.0066,2.0891086487099528,0.0066,2.1226670891046524
0.0068,2.0839458117261529,0.0068,2.1123414151370525
0.007,2.0852365209721029,0.007,2.1213763798587024
